COUNTRY;ADJACENT
VENEZUELA;UNITED STATES VIRGIN ISLANDS
VIETNAM;CAMBODIA
VIETNAM;CHINA
VIETNAM;INDONESIA
VIETNAM;MALAYSIA
VIETNAM;PHILIPPINES
VIETNAM;THAILAND
WAKE ISLAND;MARSHALL ISLANDS
WALLIS AND FUTUNA;SAMOA
WALLIS AND FUTUNA;SEYCHELLES
WALLIS AND FUTUNA;SINT MAARTEN
WALLIS AND FUTUNA;SOLOMON ISLANDS
WALLIS AND FUTUNA;SPAIN
WALLIS AND FUTUNA;SURINAME
WALLIS AND FUTUNA;TOKELAU
WALLIS AND FUTUNA;TONGA
WALLIS AND FUTUNA;TUVALU
WALLIS AND FUTUNA;UNITED KINGDOM
WALLIS AND FUTUNA;VANUATU
WALLIS AND FUTUNA;VENEZUELA
WALLIS AND FUTUNA;FIJI
WALLIS AND FUTUNA;SAMOA
WALLIS AND FUTUNA;TOKELAU
WALLIS AND FUTUNA;TONGA
WALLIS AND FUTUNA;TUVALU
WESTERN SAHARA;MAURITANIA
WESTERN SAHARA;MOROCCO
WESTERN SAHARA;SPAIN
YEMEN;DJIBOUTI
YEMEN;ERITREA
YEMEN;OMAN
YEMEN;SAUDI ARABIA
YEMEN;SOMALIA
